2018-04-26 10:16:30	b4c4e05bd2eefc99b793479d67a7bd96:PjzzVJEybZQj27xC8WNskRFDiDpl3Cbe	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 10:17:32	05ebb19f83a2e0e40a179ec7d38297f9:tVcqiDnUwpip7eOKNlbabv3PzaFv18no	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 10:17:49	0dddc7c0a2172b95158142e01684b855:d0qdxlMHpwVW7tIIMZCiXDjfZNs1GhMn	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 10:17:57	10aa4b2632b5fe17a6683c98b7a94b4e:2rcMCNpt1UJe4JIqKwgNgcxZQstFRwOZ	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	49.214.231.205
2018-04-26 10:18:47	82f3ce9d6435e2216f6375f6e1eccbad:1wEjmK8Ya98fPp2pQE0QD4xv6M2nXEJ5	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 10:19:32	ac7895b85f8a0954e5ba759d6c95a1ff:7hmROw3OmThSzE0tb6HYB69r1oSGxLKf	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 10:20:03	ec6eec1db48be605a9092a10da9dcfc6:1lo3aw8CEepy0mLacdjfChzt3QXhqL9C	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	180.217.80.103
2018-04-26 10:20:15	b176fb76df8e5f1aa38eb8190be35527:mVeaINmKQZOOO94sjYc2xcp9zvy7sVYb	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 10:20:58	da2095551d3b2138e1fb3a9538a63654:iDTIR2wAGzFzXY5a3kcxe1j6gaekAREg	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 10:21:51	ee0196d87a8dc242c78cfdb00b0e7e1a:XlFAnCicsqokpusjMqE48GfCRhiVfDEx	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	223.137.65.183
2018-04-26 10:22:21	0fa8a22d686ca9968c38d24bead30247:XaFEJOnG6I70wwQtViMEd4RTRqwrdEBW	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.138.74.13
2018-04-26 10:23:04	877dc7eb10e3b74a89ef140c51448d45:newwhTaH9spiWaCYxt66SzrDt7tBGQ8K	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	49.216.227.214
2018-04-26 10:23:29	3a5845590761ea45dac3c205d8e73400:Wixu1OF4wIHSWX7hykMDBiI80NHEJaTR	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.137.57.150
2018-04-26 10:24:09	60d9daf9cf994caba57509d4c5c5aa81:S1moeUr0j0Mtw7Il9gO52aD0D3rjY68X	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	1.200.199.132
2018-04-26 10:24:38	9e0e4bd69106d3f576481a4d5de2d5b5:DhlTZ9mysiJQjUoKcRjToxChAudOoH0E	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 10:25:53	a5109ab9a1b82ad9f978a815a697e34b:ywmkUL0PszmaVSjJbSv4uEwUDiWURQOk	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
