2018-04-27 02:21:56	8ddee4360d92accd488da78dc2682709:H9ketqkQwTYP9YTfAoepZyW71ByqWXfK	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.12.192.140
2018-04-27 11:56:37	12e0335c2c4467cf21e3d4cdc4f0da7d:mh2gXA65Z1kTB1AlyABREwc6Htrk66YL	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	49.216.135.17
2018-04-27 11:58:30	281a6cef5bd7e4715e86e90817a77f8b:ZHJXXHYMochy5jGXdEFCUxrssMZvAG20	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	111.71.110.185
2018-04-27 12:02:44	067b22194fd38dabe823fca47e9e6639:nWfV7VufHhgdhppsuwIi9hmxNN0sYXdY	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.10.122
2018-04-27 12:19:35	09ca611589a30ac04696d3c42517d088:gQg7EEA0Qe0Vg0L8XBIQfPbi3RFumL8f	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	111.71.110.185
2018-04-27 12:22:46	b273ad86005fbb9b036bc0894a228c92:bNaQdlWfV0cwofJdsEifFtRHD23WXoOW	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	114.136.211.88
2018-04-27 12:38:51	00be24156312e6ff5ed7c254e8f0eb79:QSw8syeUgsTljpgJfOoYjgTmRiOOlYJH	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	106.105.178.40
2018-04-27 12:41:25	5eb93e1dc7c6389920290c704e98a0b8:9bIjy4rAfPuPZCOtUsEnb7YG0Q8mgMOz	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 12:48:46	4367f7ce8f07cd179849ac46aacd9c0a:z6dqiiv7tiU9DEbilHT0STEZdpwnXLEI	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.10.122
2018-04-27 12:54:14	e59d416af3b0b0db5f5083a1ce8f01f5:JSQeisxVZdgiP2f704MT5ZJJtNvRe9ts	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-27 13:07:16	16efe202e74633967239db051b651835:0OEeA4GhHQaCbc3sju7guORwKGoxgIDI	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	106.105.178.40
