2018-04-26 09:10:10	12b2e5712f3bb0c70ceacb60b18aa3b2:DDiF9Nqw5JiwG3mNV93ecmEJbKKLWJcd	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 09:10:14	f14cbb61078815e48c6a42dedc5b9863:fFrY6WG7WV1X2ToUR8Igyd5M8aUOcYek	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.140
2018-04-26 09:10:33	01d4a1ee5aa317dbe51159f7da4ef93c:1Lq8vYU4S4jOMbVXHfZn7vBh8q4MVTO2	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.144
2018-04-26 09:11:11	5797e82866522ddd95cf8875a4e0716f:uiqI14X62Dz9Pr3Pcos7UyjVOEhACcYk	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.144
2018-04-26 09:11:14	cd32b3a4b298dc1a18b9a3bb5ebe2f3c:OnCcxSKcdoLkpMJImsaUgrkAO3rk1xGB	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.141
2018-04-26 09:11:15	6d01e6d984deef6fe9cc61c94165514e:BdLfv4V5SJ7vgPa1q8ZQSNuifnrn2QjC	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-26 09:11:43	299a54a931d5edbed6b7825f9a7edba7:tKqtmag6A3ZVkyR4OvVhwbTBZ27cn226	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.140
2018-04-26 09:11:45	b5b0a64591b7c4ee0864b8a9d1d57e51:1VbxKbGFlVYu7rHlrEeNwaeM0SyNeoVp	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 09:12:08	0433abc11e772cefec80c3cb26450f42:i0dPxFjUrYNriaM67FJnmlupZlnz6Thi	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.141
2018-04-26 09:12:36	34b202d5b953fe6997de01e61c987b59:L4oSpM8NmLMNtDg7dm9dS1iOBEKjbgvT	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.144
2018-04-26 09:12:58	3f0f841ddd20da3ac4b2c1568f5731fc:2KiM9Yvx3GoQnsowKW1GO01ddK3ThacF	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.140
2018-04-26 09:12:59	34253be7e7c6ff7075933e9ca5a7d6a5:aeTUzOgiGDxr989rNQICMTI686CV3Joh	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.141
2018-04-26 09:13:08	131a0504cf1db375662600d8f29b3d46:jW9PrzFKGLIeDUUdlDdWP02lPt7Ncdoy	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 09:13:30	9f33d53c00384da8eca16c60e554f29b:mdzKgp5LzMeIn0GAaPWfo7NT3rYczmgM	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.144
