2018-04-28 14:03:17	7b96df7a24338cbd59b3191884cff650:o7Y6vcxisIe6zluHPogrl6BbPtyzESoS	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 14:03:53	e72931724f375c3a026412e8b37c82ff:urYhkCZb1RjvqKBgRzIf8kuCcovJcDXJ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 14:04:39	febffdaebee8090db4600539867dc6fc:r25mPrCxIksH1mvrBVzl40oZZbR1q8gh	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 14:05:27	59bc382bbbab4355bebb8e0623f647f3:Y4IWCKLLtBy6Oqaf2NREwaht2EDr2Lhv	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 14:06:01	951f47df7ccd4bc4d28adf866120127a:ul2KOcCHF6KIOk0E5UgthCVzRifWwxyF	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 14:07:00	fa57325942d0b21140415af21f192497:RvmffEICSgj9XGwOQyMInZjzAB52Nm4c	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.151
2018-04-28 14:07:39	fa2061dcb4607083bf2f8f1e60e748e4:sUswzSnHVsFtDsH1jO9AR3zcIOdWx2C2	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 14:08:35	f90183187c2395ef49d6c41d9d4360c9:IJ3SSqmMQZDSkvJQT9rMaICBnbkDl2um	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.8.197
2018-04-28 14:10:43	54f89963d56c539a8395a9317350a8f0:ccCQmQsBmH5bdgBlxVWyNHjpwLjPyHef	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	172.29.8.151
2018-04-28 14:12:09	e2e559b61269bb67489f67fbfd1135c7:qLMjkg73yHWKjSZCESrq9TQibqts5jkA	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
